"SizeKB","Path"
"2258","public\banners\4.jpg"
"1945,24","public\banners\3.jpg"
"1835,45","public\banners\5.jpg"
"1472,47","public\banners\Наруто1.jpg"
"1116,93","public\banners\2.jpg"
"434,77","package-lock.json"
"88,36","components\team\TeamPosts.tsx"
"74,12","app\fonts\ф"
"69,61","app\profile\[handle]\page.tsx"
"67,21","components\team\TeamClientPage.tsx"
"66,27","app\fonts\GeistMonoVF.woff"
"64,71","app\fonts\GeistVF.woff"
"53,28","components\MangaTitlePage.tsx"
"47,46","app\catalog\page.tsx"
"40,6","components\ChapterReader.tsx"
"40,28","components\AddTitleModal.tsx"
"34,03","components\admin\MangaManagement.tsx"
"31,19","app\page.tsx"
"30,69","app\title\[id]\edit\page.tsx"
"29,88","ts-prune.txt"
"29,05","components\admin\TitleSuggestions.tsx"
"28,48","public\loader\final.png"
"28,48","public\logodark.png"
"28,47","components\ChatWindow.tsx"
"27,91","database.types.ts"
"27,56","app\title\[id]\page.tsx"
"27,02","public\logo.png"
"25,32","app\favicon.ico"
"22,35","components\AddChapterButton.tsx"
"18,19","components\teams\CreateTeamDialog.tsx"
"17,73","components\admin\CommentModeration.tsx"
"17,1","app\api\admin\manga-moderation\cleanup\route.ts"
"16,87","lib\storage\publish.ts"
"16,8","components\SimilarTitlesRow.tsx"
"13,62","components\Header.tsx"
"13,28","app\api\moderation\comments\route.ts"
"12,79","components\team\TeamShell.tsx"
"11,96","components\TitleBookmarks.tsx"
"11,95","tree.txt"
"11,8","app\api\admin\title-submissions\route.ts"
"11,32","components\admin\UserManagement.tsx"
"11,05","lib\mod-rules.ts"
"10,82","public\loader\p1.png"
"10,78","components\profile\ProfileModal.tsx"
"10,17","components\auth\AuthModal.tsx"
"9,92","components\MangaComments.tsx"
"9,61","app\api\admin\manga-moderation\route.ts"
"9,53","app\api\auth\register\route.ts"
"9,41","app\api\manga\[id]\bundle\route.ts"
"9,38","components\SuggestEditButton.tsx"
"9,04","components\TitleEditButton.tsx"
"9,02","app\api\catalog\route.ts"
"9,02","app\messages\page.tsx"
"8,8","app\api\chats\[chatId]\messages\route.ts"
"8,67","public\loader\p2.png"
"8,55","components\ReaderSettingsPanel.tsx"
"8,48","app\api\chapters\moderation\reject\route.ts"
"8,38","app\api\chapters\moderation\approve\route.ts"
"8,34","app\api\manga\[id]\comments\[commentId]\report\route.ts"
"8,12","app\api\chapters\route.ts"
"8,08","app\api\title-suggestions\route.ts"
"8",".DS_Store"
"8","app\api\.DS_Store"
"7,98","app\(admin)\admin\ChapterReviewPanel.tsx"
"7,87","lib\auth\route-guards.ts"
"7,69","app\api\admin\mod\comments\route.ts"
"7,68","lib\r2.ts"
"7,5","app\api\manga\[id]\similar\route.ts"
"7,45","components\AddRelatedButton.tsx"
"7,44","components\admin\AdminStats.tsx"
"7,34","components\PageComments.tsx"
"7,33","app\api\teams\[slug]\_utils.ts"
"7,2","app\api\manga\[id]\relations\route.ts"
"7,09","app\api\admin\webp-config\route.ts"
"6,97","repositories\catalog.ts"
"6,91","app\api\teams\[slug]\edit\route.ts"
"6,85","app\api\chapters\start\route.ts"
"6,75","app\api\teams\[slug]\members\route.ts"
"6,59","app\api\teams\[slug]\posts\[postId]\comments\route.ts"
"6,58","app\api\reader\pages\[pageId]\comments\route.ts"
"6,52","app\api\profile\route.ts"
"6,52","app\api\admin\chapters\reject\route.ts"
"6,41","components\manga\MangaSubmissionModal.tsx"
"6,34","components\admin\AdminDashboard.tsx"
"6,32","components\comments\ReportForm.tsx"
"6,27","app\api\teams\[slug]\posts\route.ts"
"6,23","components\TitleComments.tsx"
"6","app\team\.DS_Store"
"5,77","app\api\manga\approve\route.ts"
"5,76","lib\manga\hooks.ts"
"5,62","app\api\chapters\commit\route.ts"
"5,61","app\api\auth\google\callback\route.ts"
"5,6","lib\realtime\sse-broker.ts"
"5,42","components\HeroCarousel.tsx"
"5,39","app\api\manga\[id]\comments\route.ts"
"5,13","components\ui\ImageUpload.tsx"
"5,1","components\SubmitTitleForm.tsx"
"5,09","auth.ts"
"5,04","app\title\[id]\add-chapter\page.tsx"
"4,98","app\api\reader\[mangaId]\volume\[vol]\chapter\[chapter]\pages\route.ts"
"4,71","public\loader\p3.png"
"4,65","app\api\admin\comment-reports\[id]\route.ts"
"4,58","app\api\cron\cleanup-submissions\route.ts"
"4,38","lib\mail.ts"
"4,23","app\api\chats\route.ts"
